Training started: 30000 episodes
Learning rate: 0.001, Gamma: 0.99, Beta range: (0.1, 0.02)
--------------------------------------------------------------------------------
Episode 50/30000 | return = -1.120 | loss = -7.699910 | len = 7
Episode 100/30000 | return = -1.020 | loss = -1.256222 | len = 2
Episode 150/30000 | return = -1.100 | loss = -2.279052 | len = 6
Episode 200/30000 | return = -1.040 | loss = -0.562787 | len = 3
Episode 250/30000 | return = -1.120 | loss = -0.995321 | len = 7
Episode 300/30000 | return = -1.060 | loss = -0.296527 | len = 4
Episode 350/30000 | return = -1.200 | loss = -1.095940 | len = 11
Episode 400/30000 | return = -1.180 | loss = -0.727685 | len = 10
Episode 450/30000 | return = -1.080 | loss = -0.114914 | len = 5
Episode 500/30000 | return = -1.060 | loss = -0.101257 | len = 4
Episode 550/30000 | return = -1.120 | loss = -0.290871 | len = 7
Episode 600/30000 | return = -1.100 | loss = -0.241193 | len = 6
Episode 650/30000 | return = -1.040 | loss = -0.019556 | len = 3
Episode 700/30000 | return = -1.000 | loss = -0.065654 | len = 1
Episode 750/30000 | return = -1.020 | loss = -0.067233 | len = 2
Episode 800/30000 | return = -1.000 | loss = -0.011748 | len = 1
Episode 850/30000 | return = -1.000 | loss = -0.007010 | len = 1
Episode 900/30000 | return = -1.000 | loss = -0.007781 | len = 1
Episode 950/30000 | return = -1.020 | loss = -0.013814 | len = 2
Episode 1000/30000 | return = -1.000 | loss = -0.006908 | len = 1
Episode 1050/30000 | return = -1.000 | loss = -0.001961 | len = 1
Episode 1100/30000 | return = -1.040 | loss = -0.163981 | len = 3
Episode 1150/30000 | return = -1.060 | loss = -0.284836 | len = 4
Episode 1200/30000 | return = -1.060 | loss = -0.072306 | len = 4
Episode 1250/30000 | return = -1.060 | loss = -0.125718 | len = 4
Episode 1300/30000 | return = -1.000 | loss = -0.073830 | len = 1
Episode 1350/30000 | return = -1.000 | loss = -0.026776 | len = 1
Episode 1400/30000 | return = -1.000 | loss = -0.010952 | len = 1
Episode 1450/30000 | return = -1.000 | loss = -0.005348 | len = 1
Episode 1500/30000 | return = -1.060 | loss = -0.016126 | len = 4
Episode 1550/30000 | return = 4.920 | loss = 0.071394 | len = 5
Episode 1600/30000 | return = -1.020 | loss = -0.007013 | len = 2
Episode 1650/30000 | return = -1.040 | loss = -0.010520 | len = 3
Episode 1700/30000 | return = 4.920 | loss = 0.050608 | len = 5
Episode 1750/30000 | return = -1.040 | loss = -0.008885 | len = 3
Episode 1800/30000 | return = -1.000 | loss = -0.006023 | len = 1
Episode 1850/30000 | return = -1.040 | loss = -0.009492 | len = 3
Episode 1900/30000 | return = -1.020 | loss = -0.006612 | len = 2
Episode 1950/30000 | return = -1.060 | loss = -0.014125 | len = 4
Episode 2000/30000 | return = -1.020 | loss = -0.008435 | len = 2
Episode 2050/30000 | return = -1.040 | loss = -0.011619 | len = 3
Episode 2100/30000 | return = -1.000 | loss = -0.001700 | len = 1
Episode 2150/30000 | return = -1.020 | loss = -0.049922 | len = 2
Episode 2200/30000 | return = -1.060 | loss = -6.272959 | len = 4
Episode 2250/30000 | return = -1.060 | loss = -0.126173 | len = 4
Episode 2300/30000 | return = -1.000 | loss = -0.226678 | len = 1
Episode 2350/30000 | return = -1.000 | loss = -0.013250 | len = 1
Episode 2400/30000 | return = -1.040 | loss = -0.021881 | len = 3
Episode 2450/30000 | return = -1.020 | loss = -0.031854 | len = 2
Episode 2500/30000 | return = -1.020 | loss = -0.034372 | len = 2
Episode 2550/30000 | return = -1.000 | loss = -0.019660 | len = 1
Episode 2600/30000 | return = 4.920 | loss = 0.055552 | len = 5
Episode 2650/30000 | return = -1.020 | loss = -0.021183 | len = 2
Episode 2700/30000 | return = -1.040 | loss = -0.012243 | len = 3
Episode 2750/30000 | return = -1.000 | loss = -0.004961 | len = 1
Episode 2800/30000 | return = 4.920 | loss = 0.017268 | len = 5
Episode 2850/30000 | return = -1.020 | loss = -0.008182 | len = 2
Episode 2900/30000 | return = -1.040 | loss = -0.015654 | len = 3
Episode 2950/30000 | return = -1.000 | loss = -0.006089 | len = 1
Episode 3000/30000 | return = 4.920 | loss = 0.023154 | len = 5
Episode 3050/30000 | return = 4.920 | loss = 0.024088 | len = 5
Episode 3100/30000 | return = -1.020 | loss = -0.020651 | len = 2
Episode 3150/30000 | return = -1.040 | loss = -0.026017 | len = 3
Episode 3200/30000 | return = -1.020 | loss = -0.034910 | len = 2
Episode 3250/30000 | return = -1.000 | loss = -0.011722 | len = 1
Episode 3300/30000 | return = -1.000 | loss = -0.053159 | len = 1
Episode 3350/30000 | return = -1.040 | loss = -4.946026 | len = 3
Episode 3400/30000 | return = -1.000 | loss = -0.013307 | len = 1
Episode 3450/30000 | return = -1.020 | loss = -0.032042 | len = 2
Episode 3500/30000 | return = -1.000 | loss = -0.019049 | len = 1
Episode 3550/30000 | return = -1.020 | loss = -0.030949 | len = 2
Episode 3600/30000 | return = -1.000 | loss = -0.008039 | len = 1
Episode 3650/30000 | return = -1.040 | loss = -2.258168 | len = 3
Episode 3700/30000 | return = -1.000 | loss = -0.004104 | len = 1
Episode 3750/30000 | return = -1.060 | loss = -0.001647 | len = 4
Episode 3800/30000 | return = -1.040 | loss = -0.001736 | len = 3
Episode 3850/30000 | return = -1.000 | loss = -0.010634 | len = 1
Episode 3900/30000 | return = -1.040 | loss = -0.002059 | len = 3
Episode 3950/30000 | return = -1.000 | loss = -0.002095 | len = 1
Episode 4000/30000 | return = -1.040 | loss = -0.003371 | len = 3
Episode 4050/30000 | return = 4.920 | loss = 0.020506 | len = 5
Episode 4100/30000 | return = 4.920 | loss = 0.021197 | len = 5
Episode 4150/30000 | return = -1.000 | loss = -0.004534 | len = 1
Episode 4200/30000 | return = -1.060 | loss = -0.002949 | len = 4
Episode 4250/30000 | return = -1.020 | loss = -0.008290 | len = 2
Episode 4300/30000 | return = 4.920 | loss = 0.012957 | len = 5
Episode 4350/30000 | return = -1.020 | loss = -0.004254 | len = 2
Episode 4400/30000 | return = -1.020 | loss = -0.007635 | len = 2
Episode 4450/30000 | return = -1.000 | loss = -0.022842 | len = 1
Episode 4500/30000 | return = -1.000 | loss = -0.010021 | len = 1
Episode 4550/30000 | return = -1.020 | loss = -0.076408 | len = 2
Episode 4600/30000 | return = -1.060 | loss = -0.956772 | len = 4
Episode 4650/30000 | return = -1.120 | loss = -4.583777 | len = 7
Episode 4700/30000 | return = -1.280 | loss = -13.434164 | len = 15
Episode 4750/30000 | return = -1.140 | loss = -5.770861 | len = 8
Episode 4800/30000 | return = -1.060 | loss = -1.303273 | len = 4
Episode 4850/30000 | return = -1.020 | loss = -0.431760 | len = 2
Episode 4900/30000 | return = -1.080 | loss = -1.067507 | len = 5
Episode 4950/30000 | return = -1.020 | loss = -0.851742 | len = 2
Episode 5000/30000 | return = -1.040 | loss = -2.142917 | len = 3
Episode 5050/30000 | return = -1.080 | loss = -5.766474 | len = 5
Episode 5100/30000 | return = 4.860 | loss = 40.517044 | len = 8
Episode 5150/30000 | return = -1.000 | loss = -0.210732 | len = 1
Episode 5200/30000 | return = 4.920 | loss = 0.776478 | len = 5
Episode 5250/30000 | return = -1.020 | loss = -0.389696 | len = 2
Episode 5300/30000 | return = -1.020 | loss = -0.377936 | len = 2
Episode 5350/30000 | return = -1.060 | loss = -3.240149 | len = 4
Episode 5400/30000 | return = -1.000 | loss = -0.346216 | len = 1
Episode 5450/30000 | return = -1.060 | loss = -0.072435 | len = 4
Episode 5500/30000 | return = -1.020 | loss = -0.793525 | len = 2
Episode 5550/30000 | return = -1.000 | loss = -1.012388 | len = 1
Episode 5600/30000 | return = -1.060 | loss = -0.272152 | len = 4
Episode 5650/30000 | return = -1.080 | loss = -3.288349 | len = 5
Episode 5700/30000 | return = -1.060 | loss = -1.840508 | len = 4
Episode 5750/30000 | return = -1.060 | loss = -1.415552 | len = 4
Episode 5800/30000 | return = -1.020 | loss = -2.342393 | len = 2
Episode 5850/30000 | return = -1.100 | loss = -4.387381 | len = 6
Episode 5900/30000 | return = -1.020 | loss = -0.177029 | len = 2
Episode 5950/30000 | return = 4.900 | loss = 4.103125 | len = 6
Episode 6000/30000 | return = -1.000 | loss = -2.456238 | len = 1
Episode 6050/30000 | return = -1.080 | loss = -9.541214 | len = 5
Episode 6100/30000 | return = 4.880 | loss = 20.311031 | len = 7
Episode 6150/30000 | return = -1.040 | loss = -2.494530 | len = 3
Episode 6200/30000 | return = 4.900 | loss = 5.730310 | len = 6
Episode 6250/30000 | return = -1.000 | loss = -0.969814 | len = 1
Episode 6300/30000 | return = -1.080 | loss = -5.596138 | len = 5
Episode 6350/30000 | return = -1.040 | loss = -1.123602 | len = 3
Episode 6400/30000 | return = -1.080 | loss = -1.741238 | len = 5
Episode 6450/30000 | return = 4.920 | loss = 0.620263 | len = 5
Episode 6500/30000 | return = -1.420 | loss = -45.818924 | len = 22
Episode 6550/30000 | return = -1.100 | loss = -7.928611 | len = 6
Episode 6600/30000 | return = -1.060 | loss = -1.636251 | len = 4
Episode 6650/30000 | return = -1.160 | loss = -8.532573 | len = 9
Episode 6700/30000 | return = 4.820 | loss = 18.223827 | len = 10
Episode 6750/30000 | return = 4.780 | loss = 15.619002 | len = 12
Episode 6800/30000 | return = -1.120 | loss = -12.478152 | len = 7
Episode 6850/30000 | return = -1.040 | loss = -0.486072 | len = 3
Episode 6900/30000 | return = -1.000 | loss = -0.862580 | len = 1
Episode 6950/30000 | return = 4.840 | loss = 17.180195 | len = 9
Episode 7000/30000 | return = 4.920 | loss = 0.201171 | len = 5
Episode 7050/30000 | return = 4.780 | loss = 8.931484 | len = 12
Episode 7100/30000 | return = -1.060 | loss = -5.005196 | len = 4
Episode 7150/30000 | return = -1.520 | loss = -10.509415 | len = 27
Episode 7200/30000 | return = 4.920 | loss = 1.281539 | len = 5
Episode 7250/30000 | return = -1.000 | loss = -0.584068 | len = 1
Episode 7300/30000 | return = 4.840 | loss = 1.596921 | len = 9
Episode 7350/30000 | return = -1.060 | loss = -0.869388 | len = 4
Episode 7400/30000 | return = 4.920 | loss = 1.414080 | len = 5
Episode 7450/30000 | return = 4.860 | loss = 11.416343 | len = 8
